,LINK_ID,store_name,store_addr,lat_x,lot_x,도로_x,layer,path,지역,구로구,동,도로_y,유동인구_평균,lat_y,lot_y,일자,요일,도로명,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
242,1220021800,스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동)1522-3232,37.494668,127.062583,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.494668,127.062583,20210726,월,삼성로,1220021800,은마아파트입구,대치역,상행,527,4,보조간선도로,외곽,강남구,34.41,39.99,40.07,42.06,25.34,24.03,20.84,19.37,19.3,16.75,19.04,20.86,22.3,16.57,17.24,18.03,16.34,14.88,13.97,15.4,16.54,16.67,15.87,28.74
252,1220031400,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)1522-3232,37.515,127.063196,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,봉은사로,35255,37.515,127.063196,20210705,월,봉은사로,1220031400,봉은교,코엑스,상행,577,3,주간선도로,외곽,강남구,31.82,38.57,33.33,33.37,28.6,28.83,29.33,25.69,21.22,12.32,11.48,13.75,21.26,19.93,19.55,21.57,20.97,20.4,27.24,26.13,25.6,25.07,24.66,25.72
259,1220031400,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)1522-3232,37.515,127.063196,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,봉은사로,35255,37.515,127.063196,20210712,월,봉은사로,1220031400,봉은교,코엑스,상행,577,3,주간선도로,외곽,강남구,30.22,32.84,34.44,34.55,36.56,33.87,32.08,24.56,18.78,14.16,9.54,16.82,23.87,21.5,20.96,19.66,21.27,26.14,31.03,30.02,30.12,29.04,25.49,27.46
266,1220031400,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)1522-3232,37.515,127.063196,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,봉은사로,35255,37.515,127.063196,20210719,월,봉은사로,1220031400,봉은교,코엑스,상행,577,3,주간선도로,외곽,강남구,30.73,39.9,40.31,35.59,35.58,35.8,31.59,24.58,20.33,14.07,12.71,15.73,20.26,20.17,20.49,20.89,22.37,25.96,23.03,26.61,26.34,26.43,25.02,25.47
273,1220031400,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)1522-3232,37.515,127.063196,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,봉은사로,35255,37.515,127.063196,20210726,월,봉은사로,1220031400,봉은교,코엑스,상행,577,3,주간선도로,외곽,강남구,31.8,32.91,34.06,36.92,41.06,30.84,29.34,26.02,20.7,14.08,14.56,16.31,23.45,24.0,17.78,20.59,22.48,24.55,26.76,26.23,27.19,25.11,27.77,29.31
283,1220031500,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)1522-3232,37.515,127.063196,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,봉은사로,35255,37.515,127.063196,20210705,월,봉은사로,1220031500,코엑스,봉은교,하행,578,3,주간선도로,외곽,강남구,31.16,33.7,33.24,28.51,35.04,36.08,31.01,35.32,34.79,30.75,28.55,22.91,22.45,23.33,20.76,20.83,22.29,19.42,13.72,16.82,22.72,24.14,21.67,24.54
290,1220031500,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)1522-3232,37.515,127.063196,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,봉은사로,35255,37.515,127.063196,20210712,월,봉은사로,1220031500,코엑스,봉은교,하행,578,3,주간선도로,외곽,강남구,32.89,31.31,33.22,34.64,29.38,32.75,31.78,29.85,33.66,31.23,30.1,24.6,26.51,23.15,25.11,27.15,23.24,18.71,10.95,14.69,23.97,26.88,24.42,24.99
297,1220031500,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)1522-3232,37.515,127.063196,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,봉은사로,35255,37.515,127.063196,20210719,월,봉은사로,1220031500,코엑스,봉은교,하행,578,3,주간선도로,외곽,강남구,31.68,29.25,37.0,32.12,29.01,34.89,29.17,30.94,33.29,33.09,28.5,25.82,26.07,23.48,22.71,23.12,24.36,18.31,6.08,10.69,17.48,25.51,23.25,24.79
304,1220031500,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)1522-3232,37.515,127.063196,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,봉은사로,35255,37.515,127.063196,20210726,월,봉은사로,1220031500,코엑스,봉은교,하행,578,3,주간선도로,외곽,강남구,30.92,35.8,32.27,30.73,37.53,36.32,31.81,30.69,28.12,31.58,26.58,23.18,23.56,23.59,23.5,25.02,21.47,15.38,10.37,12.07,21.54,24.57,23.79,25.54
314,1220034400,압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동)1522-3232,37.5227934,127.0286009,논현로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,신사동,논현로,34464,37.5227934,127.0286009,20210705,월,논현로,1220034400,압구정역,강남을지병원,상행,833,2,주간선도로,외곽,강남구,28.68,31.13,31.71,27.65,34.58,30.2,30.95,24.7,14.02,10.26,11.33,15.8,19.29,19.07,14.47,11.7,11.07,10.44,10.8,16.09,22.28,24.43,27.01,27.14
