store_name,lat,lot
봉은사로선정릉,37.511293,127.048409
여의도IFC몰(L1)R,37.525127,126.925508
송파개롱역,37.496956,127.13652
센트럴F1,37.505148,127.004395
서초역이화빌딩,37.487931,127.009126
선릉동신빌딩R,37.505321,127.050409
노량진역,37.51339,126.940879
광화문우체국,37.569854,126.978083
방배다이치빌딩,37.484329,126.995872
합정폴리스R,37.5509,126.9134
동국대,37.561542,126.998437
종암DT,37.5919525,127.0360401
공릉DT,37.6206884,127.0743116
강남교보타워R,37.503789,127.024075
우장산역,37.549501,126.835984
수서역R,37.488008,127.10265
당산대로,37.533121,126.903804
마곡사이언스타워R,37.5605261,126.833887
문정법원로R,37.487447,127.119164
양재강남빌딩R,37.485192,127.036685
가산에스케이,37.48061318,126.8805702
목동행복한,37.529147,126.876099
압구정R,37.5273669,127.033061
아차산역,37.5505388,127.0898757
이태원역,37.534273,126.994789
국립중앙의료원,37.566516,127.0062376
등촌역,37.548884,126.86807
숭례문북창,37.561725,126.976838
종로평창동,37.606149,126.967213
마포용강동,37.541186,126.942209
혜화역,37.5824779,127.002185
논현역사거리,37.510178,127.022223
명동센트럴,37.564669,126.985233
삼성역섬유센터R,37.50775,127.060651
이수자이,37.484414,126.980047
잠실시그마타워,37.514567,127.102493
명일역,37.55258,127.143799
어린이대공원역,37.551946,127.076404
영등포역,37.5169614,126.909139
보라매공원R,37.49226213,126.9233457
스탈릿대치R,37.494668,127.062583
연합뉴스,37.5743289,126.980459
강동암사DT,37.555054,127.130065
월계트레이더스,37.6277053,127.0614978
송파나루역DT,37.510793,127.1102658
상계초교사거리,37.656776,127.066442
상암YTN,37.579183,126.892315
샛강역,37.5183551,126.9312716
대한상공회의소R,37.560938,126.973702
관악서울대입구R,37.479343,126.95278
강동구청DT,37.529437,127.123835
불광역,37.609382,126.9303971
역삼아레나빌딩,37.501087,127.043069
가재울뉴타운,37.5749841,126.9164441
창동이마트,37.651645,127.046869
국기원사거리,37.499517,127.031495
경희궁로,37.571759,126.972343
남성역,37.4841198,126.9725739
미아이마트,37.610678,127.029921
동대문두타,37.56892513,127.0087838
건국대,37.5415592,127.0711244
낙성대역,37.477946,126.961193
발산역사거리,37.558509,126.835096
방배로,37.4793434,126.9994968
타임스퀘어R,37.517139,126.903606
노량진동,37.513068,126.946537
서강대프라자,37.551073,126.943096
목동파리공원,37.535336,126.878852
을지로4가역,37.566682,126.997285
길음역,37.602139,127.025271
효창공원앞역,37.539305,126.96306
서울숲역,37.542075,127.044961
금호역,37.5479939,127.0153343
신사역성일빌딩,37.514132,127.020563
월계역,37.6295,127.0574
강북삼성병원,37.568546,126.96756
마곡역,37.559611,126.826298
코엑스별마당,37.51015,127.060275
금천구청역,37.455983,126.895727
송파헬리오시티,37.4978563,127.1031325
봉은사역,37.515,127.063196
굽은다리역,37.545403,127.143101
압구정윤성빌딩,37.5227934,127.0286009
서울역서부,37.555165,126.968446
남가좌사거리,37.577386,126.920815
상도역,37.5031936,126.9484581
동숭길입구,37.584236,127.002014
묵동,37.615368,127.076633
용산리첸시아,37.538571,126.967409
몽촌토성역,37.516913,127.113127
자양이마트,37.537817,127.072597
목동트라팰리스,37.5255,126.8702
천호사거리,37.539702,127.123542
구로NC,37.501219,126.882798
숭례문SG타워,37.5581293,126.9742637
송파마천사거리DT,37.499829,127.147672
천호대로길동,37.534651,127.13721
코엑스아셈타워,37.513019,127.059838
성수낙낙,37.547326,127.066367
서울웨이브아트센터,37.518807,127.00704
당산역사거리,37.533984,126.901156
대치삼성프라자,37.500313,127.066961
명동남산,37.560809,126.986397
무교로,37.567399,126.9789
역삼이마트,37.499367,127.048425
서울대치과병원,37.5779,126.99965
용산해링턴스퀘어,37.5258562,126.9676442
중화역,37.60170912,127.0784114
테헤란로아남타워,37.50383,127.04487
상일동역,37.55754182,127.1707267
홍대역8번출구,37.5567435,126.9241665
대치한티,37.4984818,127.052066
더현대서울(B2)R,37.5264,126.92877
현대신촌,37.55608306,126.9358449
서이초교사거리,37.4918146,127.0252252
강서구청사거리,37.5549266,126.8523133
영등포구청역,37.527623,126.895859
등촌대로,37.55101,126.86638
영등포시장교차로,37.5204239,126.904446
별다방,37.5602013,126.9829327
선유도역 1번출구,37.538333,126.893612
레스케이프호텔,37.5598346,126.9794946
마곡나루공원,37.567007,126.822246
서대문역,37.5667,126.96629
청량리역사,37.57945,127.04785
서울역사,37.554157,126.9717936
강남세곡,37.46727432,127.0999297
쌍문도봉로,37.6453516,127.0331011
중곡,37.5575666,127.079334
태릉입구역DT,37.61942,127.07932
신월동DT,37.53829235,126.8271014
정동,37.568578,126.970067
도산사거리,37.51966,127.0341
장위뉴타운,37.6179569,127.0515357
송파NC,37.4778761,127.1256748
목동10단지,37.51542562,126.8596031
포포인츠명동,37.5657211,126.9893426
센터필드R,37.50369465,127.0417208
강북삼성병원1층,37.568546,126.96756
종로플레이스,37.57319,126.998309
가양역사거리,37.56007,126.855372
올림픽공원북2문,37.5241832,127.1286775
