store_name,store_address,lat,lot,도로,길,Z_KAIS_TL_SPRD_MANAGE_11000_ALWNC_DE,Z_KAIS_TL_SPRD_MANAGE_11000_ALWNC_RESN,Z_KAIS_TL_SPRD_MANAGE_11000_BSI_INT,Z_KAIS_TL_SPRD_MANAGE_11000_ENG_RN,Z_KAIS_TL_SPRD_MANAGE_11000_MVMN_DE,Z_KAIS_TL_SPRD_MANAGE_11000_MVMN_RESN,Z_KAIS_TL_SPRD_MANAGE_11000_MVM_RES_CD,Z_KAIS_TL_SPRD_MANAGE_11000_NTFC_DE,Z_KAIS_TL_SPRD_MANAGE_11000_OPERT_DE,Z_KAIS_TL_SPRD_MANAGE_11000_RBP_CN,Z_KAIS_TL_SPRD_MANAGE_11000_RDS_DPN_SE,Z_KAIS_TL_SPRD_MANAGE_11000_RDS_MAN_NO,Z_KAIS_TL_SPRD_MANAGE_11000_REP_CN,Z_KAIS_TL_SPRD_MANAGE_11000_RN_CD,Z_KAIS_TL_SPRD_MANAGE_11000_ROAD_BT,Z_KAIS_TL_SPRD_MANAGE_11000_ROAD_LT,Z_KAIS_TL_SPRD_MANAGE_11000_ROA_CLS_SE,Z_KAIS_TL_SPRD_MANAGE_11000_SIG_CD,Z_KAIS_TL_SPRD_MANAGE_11000_WDR_RD_CD
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)1522-3232","37.499721","127.033582",테헤란로,,"20100419",테헤란시와 서울시의 자매결연을 기념 상호 도시명을 도로명으로 제정,"20",Teheran-ro,"20141030",직권수정(속성변경),"99","20100422","20160607095026",역삼동 821,"0","13",삼성동 171-3,"3122010",50.00000000,3898.00000000,"2","11680","3"
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)1522-3232","37.50314","127.025546",강남대로,,"20090701",행정구역 명칭 사용,"10",Gangnam-daero,"20141030",기재내용정정,"71","20090710","20181116105004",서울특별시 서초구 양재동 238-1(염곡사거리),"1","2091",서울특별시 용산구 한남동 782(한강대교북단),"2102001",6.00000000,7820.00000000,"2","11650","2"
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)1522-3232","37.5243631","127.0515599",도산대로,,"20080901","일제시대 독립운동가인 안창호 선생의 호 도산을 인용, 도산대로변에는 도산의 묘원인 도산공원이 위치함","20",Dosan-daero,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20080926","20141030225533",강남구 신사동 501-2,"0","17",청담동 130,"2122001",50.00000000,3262.00000000,"2","11680","3"
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동)1522-3232,"37.5097863","127.0579134",테헤란로87길,,"20101018",테헤란로 시점에서 87번째 분기된 도로,"16",Teheran-ro 87-gil,"20141030",직권수정(속성변경),"99","20101203","20190426160712",삼성동 158-23,"0","539",삼성동 148-16,"4166765",11.00000000,454.00000000,"4","11680","3"
삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층1522-3232","37.507794","127.06517",영동대로86길,,"20101018",영동대로 시점에서 86번째 분기된 도로,"17",Yeongdong-daero 86-gil,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537",대치동 995-10,"1","952",대치동 999-2,"4166702",4.00000000,106.00000000,"4","11680","3"
학동역,서울특별시 강남구 논현로 704 (논현동)1522-3232,"37.51464884","127.0307302",논현로,,"20100520",행정구역명칭 인용,"20",Nonhyeon-ro,"20141117",기재내용정정,"71","20100520","20181107140150",서울특별시 서초구 양재동 402-6(양재대로),"0","26",서울특별시 성동구 옥수동 487(동호대교 북단),"3121022",30.00000000,8300.00000000,"3","11680","2"
대치,서울특별시 강남구 도곡로 511 (대치동)1522-3232,"37.49966175","127.0622171",도곡로,,"20100422",행정구역 명칭 사용,"20",Dogok-ro,"20141117",누락된 부여일자 입력,"71","20100422","20181107140310",서울특별시 강남구 도곡동 943(강남대로),"0","11",서울특별시 송파구 잠실동 294 (백제고분로),"3122012",40.00000000,4700.00000000,"3","11680","2"
SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)1522-3232","37.490298","127.054895",언주로30길,,"20101018",언주로 시점에서 30번째 분기된 도로,"16",Eonju-ro 30-gil,"20141030",직권수정(속성변경),"99","20101203","20190426160556",도곡동 467-17,"0","726",도곡동 467-18,"4166604",11.00000000,544.00000000,"4","11680","3"
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)1522-3232","37.50703529","127.0555503",테헤란로,,"20100419",테헤란시와 서울시의 자매결연을 기념 상호 도시명을 도로명으로 제정,"20",Teheran-ro,"20141030",직권수정(속성변경),"99","20100422","20160607095026",역삼동 821,"0","13",삼성동 171-3,"3122010",50.00000000,3898.00000000,"2","11680","3"
선릉세화빌딩,서울특별시 강남구 테헤란로64길 18 (대치동) 1층1522-3232,"37.50377562","127.051196",테헤란로64길,,"20101018",테헤란로 시점에서 64번째 분기된 도로,"17",Teheran-ro 64-gil,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537",대치동 890,"0","558",대치동 900,"4166751",12.00000000,260.00000000,"4","11680","3"
