,LINK_ID,store_name,store_addr,lat_x,lot_x,도로_x,layer,path,지역,구로구,동,도로_y,유동인구_평균,lat_y,lot_y
57,1220018500,대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호1522-3232,37.493554,127.061874,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.493554,127.061874
58,1220018400,대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호1522-3232,37.493554,127.061874,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.493554,127.061874
59,1220006500,포이,서울특별시 강남구 논현로 88 (개포동)1522-3232,37.47781106,127.0451411,논현로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,개포4동,논현로,15244,37.47781106,127.0451411
60,1220024100,아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동)1522-3232,37.49971982,127.0349084,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.49971982,127.0349084
61,1220030000,선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩1522-3232,37.5107549,127.0445597,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성2동,봉은사로,38899,37.5107549,127.0445597
62,1220030100,선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩1522-3232,37.5107549,127.0445597,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성2동,봉은사로,38899,37.5107549,127.0445597
63,1220031800,삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동)1522-3232,37.51354184,127.0527183,삼성로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성2동,삼성로,38899,37.51354184,127.0527183
64,1220034400,압구정미소,서울특별시 강남구 논현로 841 (신사동)1522-3232,37.52405601,127.027915,논현로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,신사동,논현로,34464,37.52405601,127.027915
65,1220034500,압구정미소,서울특별시 강남구 논현로 841 (신사동)1522-3232,37.52405601,127.027915,논현로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,신사동,논현로,34464,37.52405601,127.027915
66,1220026100,선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)1522-3232",37.50393894,127.0485135,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.50393894,127.0485135
67,1220016600,역삼럭키,서울특별시 강남구 도곡로 183 (역삼동)1522-3232,37.492209,127.039389,도곡로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,도곡로,97922,37.492209,127.039389
68,1220028200,차병원사거리,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)1522-3232",37.508032,127.035373,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현2동,봉은사로,41704,37.508032,127.035373
69,1220028300,차병원사거리,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)1522-3232",37.508032,127.035373,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현2동,봉은사로,41704,37.508032,127.035373
