LINK_ID,X,Y
1100003600,205353.792143,461634.818251
1100004000,205353.793533,461634.811604
1100004000,205344.705095,461678.381558
1100004000,205335.616657,461721.951511
1100004000,205323.49874,461780.044783
1100004400,205323.491177,461780.080496
1100004400,205283.775992,461964.844203
1100004400,205244.060808,462149.60791
1100004400,205191.107228,462395.95952
1100004600,205191.115679,462395.919544
1100004600,205167.598337,462509.07237
1100004600,205144.080996,462622.225196
1100004600,205112.72454,462773.095631
1100005200,205112.716095,462773.135582
1100005200,205092.938727,462865.146103
1100005200,205073.16136,462957.156625
1100005200,205046.791536,463079.837321
1100005600,205046.793119,463079.829932
1100005600,205024.36187,463184.830573
1100005600,205001.930621,463289.831214
1100005600,204972.022289,463429.832068
1100005800,204972.025744,463429.815786
1100005800,204892.945582,463805.082263
1100005800,204885.476879,463852.81897
1100005800,204883.976288,463884.973062
1100005800,204883.94237,463942.478942
1100006600,204887.179247,464292.584946
1100006600,204892.495943,464574.399099
1100006600,204897.812638,464856.213253
1100006600,204904.901565,465231.965457
1100006900,204905.661607,465234.107802
1100006900,204906.045177,465251.45566
1100006900,204907.699809,465326.832353
1100006900,204905.554408,465391.525242
1100006900,204902.150659,465445.618919
1100007000,204882.185161,465519.472439
1100007000,204890.190807,465444.603703
1100007000,204893.566906,465390.949453
1100007000,204895.695442,465326.765111
1100007000,204894.080328,465253.188677
1040005300,207067.385061,452468.768247
1040005300,207047.358732,452340.349101
1040005300,207011.181949,452219.558013
1040005300,206968.151047,452120.139221
1040005300,206750.649236,451636.502158
1030000100,205399.165765,448638.345933
1030000100,205326.513635,448473.837368
1030000100,205222.372112,448239.258904
1060005500,206744.315242,457331.566069
1060005500,206736.004584,457366.655081
1060005500,206727.693927,457401.744092
1060005500,206716.613051,457448.529441
1060006000,206716.591245,457448.618472
1060006000,206707.489667,457484.587538
1060006000,206698.388089,457520.556603
1060006000,206686.252652,457568.515357
1100002800,205645.804515,460660.769609
1100002800,205599.340778,460775.752292
1100002800,205552.877041,460890.734975
1100002800,205490.925391,461044.04522
1010010600,200637.420197,451633.372111
1010010600,200618.067315,451654.768106
1010010600,200603.227627,451662.357196
1010010600,200566.379321,451672.203453
1010010600,200457.293636,451694.482987
1010010100,200215.897199,451683.361429
1010010100,200106.836163,451674.391388
1010010100,199997.775126,451665.421347
1010010100,199852.360411,451653.461293
1010009400,199853.255229,451651.310112
1010009400,199647.692076,451640.400289
1010009400,199610.440737,451639.466025
1010009400,199423.493532,451653.180535
1010009400,199369.305936,451653.156574
1010009800,199369.30755,451653.156575
1010009800,199337.317069,451653.151034
1010009800,199291.348569,451658.743366
1010009800,199247.808614,451669.032282
1010009800,199158.1441,451695.545353
1010010700,199116.745369,451703.707806
1010010700,199098.905335,451707.225334
1010010700,198983.605851,451675.316672
1010010700,198941.981372,451670.774935
1010010700,198909.998443,451679.910867
1010010800,198905.981492,451672.698266
1010010800,198940.224944,451662.916614
1010010800,198985.150712,451667.818563
1010010800,199098.648613,451699.228644
1010010800,199113.703035,451696.260356
1010009700,199113.703056,451696.260352
1010009700,199154.554957,451688.205716
1010009700,199244.004077,451661.756336
1010009700,199288.516648,451651.237581
1010009700,199335.869871,451645.476789
1010009300,199368.590262,451645.482457
1010009300,199422.33563,451645.506222
1010009300,199609.430509,451631.780879
1010009300,199647.43961,451632.734147
1010009300,199853.170228,451643.652858
1010010200,199853.344065,451641.501676
1010010200,199962.405101,451650.471717
1010010200,200071.466137,451659.441758
1010010200,200216.880853,451671.401813
1010010500,200216.913017,451671.404545
1010010500,200398.139659,451687.292104
1010010500,200427.16134,451686.832048
1010010500,200455.208914,451682.661045
1010010500,200563.627307,451660.517797
1030018800,203224.812137,451841.962454
1030018800,203055.317876,451865.924595
1030018800,202885.823614,451889.886736
1030018800,202659.831266,451921.836258
1010018600,202078.282791,452045.891748
1010018600,201961.630268,452068.468076
1010018600,201827.387525,452091.649606
1010018600,201758.364846,452098.304856
1010018600,201704.407393,452097.816228
1010018500,201414.055285,452047.107385
1010018500,201446.077742,452048.446126
1010018500,201583.709718,452073.105466
1010018500,201633.461687,452080.164593
1010018500,201704.935687,452085.82052
1030019100,202075.891117,452034.133052
1030019100,202250.445708,451996.901336
1030019100,202425.000298,451959.66962
1030019100,202657.739753,451910.027332
1030018700,202658.151477,451909.95441
1030018700,202827.645739,451885.992269
1030018700,202997.14,451862.030128
1030018700,203223.132349,451830.080606
1030018200,203701.424899,451775.726674
1030018200,203558.43687,451795.597997
1030018200,203415.448842,451815.46932
1030018200,203224.798138,451841.964416
1030019200,202660.24299,451921.763336
1030019200,202485.688399,451958.995052
1030019200,202311.133809,451996.226769
1030019200,202078.394355,452045.869057
1010017900,201413.937297,452059.100683
1010017900,201339.836001,452060.739108
